humidity_out,statetime
9.0,"2019-10-20 13:47:01"
10.0,"2019-10-20 13:46:31"
9.0,"2019-10-20 13:36:31"
10.0,"2019-10-20 13:35:01"
9.0,"2019-10-20 13:31:01"
10.0,"2019-10-20 13:30:31"
9.0,"2019-10-20 13:22:01"
10.0,"2019-10-20 13:21:31"
9.0,"2019-10-20 13:19:01"
10.0,"2019-10-20 13:14:02"
11.0,"2019-10-20 13:13:01"
10.0,"2019-10-20 13:12:31"
11.0,"2019-10-20 13:11:01"
12.0,"2019-10-20 13:09:01"
13.0,"2019-10-20 13:07:01"
12.0,"2019-10-20 13:04:31"
13.0,"2019-10-20 13:03:01"
12.0,"2019-10-20 12:59:31"
13.0,"2019-10-20 11:50:31"
14.0,"2019-10-20 11:46:01"
13.0,"2019-10-20 11:44:31"
14.0,"2019-10-20 11:33:01"
13.0,"2019-10-20 11:32:31"
14.0,"2019-10-20 09:49:01"
15.0,"2019-10-20 09:48:31"
14.0,"2019-10-20 09:47:01"
15.0,"2019-10-20 09:33:31"
16.0,"2019-10-20 09:33:01"
15.0,"2019-10-20 09:27:31"
16.0,"2019-10-20 09:27:01"
15.0,"2019-10-20 09:19:31"
16.0,"2019-10-20 09:19:01"
15.0,"2019-10-20 09:17:31"
16.0,"2019-10-20 09:17:01"
15.0,"2019-10-20 09:05:01"
16.0,"2019-10-20 09:04:31"
15.0,"2019-10-20 09:04:01"
16.0,"2019-10-20 09:02:31"
15.0,"2019-10-20 09:02:01"
16.0,"2019-10-20 09:01:31"
15.0,"2019-10-20 09:01:01"
16.0,"2019-10-20 08:11:31"
17.0,"2019-10-20 08:11:01"
16.0,"2019-10-20 08:03:31"
17.0,"2019-10-20 08:02:31"
16.0,"2019-10-20 07:59:31"
17.0,"2019-10-20 07:58:01"
18.0,"2019-10-20 07:57:31"
16.0,"2019-10-20 07:57:01"
18.0,"2019-10-20 07:56:31"
17.0,"2019-10-20 07:52:01"
18.0,"2019-10-20 07:50:01"
17.0,"2019-10-20 07:48:31"
18.0,"2019-10-20 07:48:01"
17.0,"2019-10-20 07:46:31"
18.0,"2019-10-20 07:46:01"
17.0,"2019-10-20 07:36:31"
18.0,"2019-10-20 07:36:01"
17.0,"2019-10-20 07:34:31"
19.0,"2019-10-20 07:34:01"
17.0,"2019-10-20 07:33:31"
19.0,"2019-10-20 07:33:01"
18.0,"2019-10-20 07:30:31"
19.0,"2019-10-20 07:30:01"
18.0,"2019-10-20 07:28:01"
19.0,"2019-10-20 07:27:31"
18.0,"2019-10-20 07:25:31"
19.0,"2019-10-20 07:25:01"
18.0,"2019-10-20 07:15:31"
19.0,"2019-10-20 07:15:02"
18.0,"2019-10-20 07:13:01"
19.0,"2019-10-20 07:12:31"
18.0,"2019-10-20 07:11:31"
17.0,"2019-10-20 07:10:31"
18.0,"2019-10-20 07:10:01"
17.0,"2019-10-20 07:09:01"
18.0,"2019-10-20 07:08:31"
17.0,"2019-10-20 07:05:01"
18.0,"2019-10-20 07:04:31"
17.0,"2019-10-20 07:01:01"
