motion_detected,statetime
EA674E,"2019-10-23 12:13:56"
EA674E,"2019-10-23 12:13:48"
EA674E,"2019-10-23 12:13:25"
EA674E,"2019-10-23 12:13:06"
EA674E,"2019-10-23 12:12:59"
EA674E,"2019-10-23 12:12:47"
EA674E,"2019-10-23 12:12:38"
EA674E,"2019-10-23 12:12:28"
EA674E,"2019-10-23 12:12:11"
EA674E,"2019-10-23 12:11:59"
EA674E,"2019-10-23 12:10:53"
EA674E,"2019-10-23 12:09:34"
EA674E,"2019-10-23 12:09:01"
EA674E,"2019-10-23 12:04:44"
EA674E,"2019-10-23 12:04:30"
EA674E,"2019-10-23 12:03:05"
EA674E,"2019-10-23 12:02:14"
EA674E,"2019-10-23 12:01:43"
EA674E,"2019-10-23 12:01:10"
EA674E,"2019-10-23 12:00:20"
EA674E,"2019-10-23 12:00:10"
EA674E,"2019-10-23 11:58:14"
EA674E,"2019-10-23 11:57:13"
EA674E,"2019-10-23 11:57:07"
EA674E,"2019-10-23 11:54:55"
EA674E,"2019-10-23 11:54:02"
EA674E,"2019-10-23 11:53:27"
EA674E,"2019-10-23 11:52:28"
EA674E,"2019-10-23 11:51:58"
EA674E,"2019-10-23 11:51:46"
EA674E,"2019-10-23 11:51:04"
EA674E,"2019-10-23 11:45:06"
EA674E,"2019-10-23 11:44:09"
EA674E,"2019-10-23 11:44:03"
EA674E,"2019-10-23 11:43:23"
EA674E,"2019-10-23 11:42:32"
EA674E,"2019-10-23 11:41:43"
EA674E,"2019-10-23 11:41:07"
EA674E,"2019-10-23 11:40:25"
EA674E,"2019-10-23 11:40:16"
EA674E,"2019-10-23 11:40:09"
EA674E,"2019-10-23 11:39:54"
EA674E,"2019-10-23 11:39:42"
EA674E,"2019-10-23 11:39:35"
EA674E,"2019-10-23 11:39:23"
EA674E,"2019-10-23 11:39:16"
EA674E,"2019-10-23 11:39:07"
EA674E,"2019-10-23 11:39:01"
EA674E,"2019-10-23 11:38:52"
EA674E,"2019-10-23 11:38:43"
EA674E,"2019-10-23 11:38:25"
EA674E,"2019-10-23 11:38:08"
EA674E,"2019-10-23 11:37:43"
EA674E,"2019-10-23 11:37:36"
EA674E,"2019-10-23 11:37:29"
EA674E,"2019-10-23 11:37:21"
EA674E,"2019-10-23 11:37:11"
EA674E,"2019-10-23 11:37:04"
EA674E,"2019-10-23 11:36:52"
EA674E,"2019-10-23 11:36:41"
EA674E,"2019-10-23 11:36:33"
EA674E,"2019-10-23 11:36:06"
EA674E,"2019-10-23 11:35:57"
EA674E,"2019-10-23 11:35:36"
EA674E,"2019-10-23 11:35:01"
EA674E,"2019-10-23 11:34:55"
EA674E,"2019-10-23 11:34:48"
EA674E,"2019-10-23 11:34:38"
EA674E,"2019-10-23 11:34:27"
EA674E,"2019-10-23 11:34:15"
EA674E,"2019-10-23 11:34:01"
EA674E,"2019-10-23 11:33:54"
EA674E,"2019-10-23 11:33:45"
EA674E,"2019-10-23 11:33:35"
EA674E,"2019-10-23 11:33:29"
EA674E,"2019-10-23 11:33:22"
EA674E,"2019-10-23 11:33:02"
EA674E,"2019-10-23 11:32:53"
EA674E,"2019-10-23 11:32:41"
EA674E,"2019-10-23 11:32:07"
EA674E,"2019-10-23 11:31:33"
EA674E,"2019-10-23 11:31:21"
EA674E,"2019-10-23 11:31:00"
EA674E,"2019-10-23 11:30:31"
EA674E,"2019-10-23 11:30:19"
EA674E,"2019-10-23 11:30:10"
EA674E,"2019-10-23 11:30:04"
EA674E,"2019-10-23 11:29:56"
EA674E,"2019-10-23 11:29:50"
EA674E,"2019-10-23 11:29:18"
EA674E,"2019-10-23 11:29:10"
EA674E,"2019-10-23 11:28:57"
EA674E,"2019-10-23 11:28:46"
EA674E,"2019-10-23 11:28:20"
EA674E,"2019-10-23 11:28:00"
EA674E,"2019-10-23 11:27:48"
EA674E,"2019-10-23 11:27:15"
EA674E,"2019-10-23 11:27:03"
EA674E,"2019-10-23 11:26:42"
EA674E,"2019-10-23 11:26:35"
EA674E,"2019-10-23 11:26:23"
EA674E,"2019-10-23 11:25:26"
EA674E,"2019-10-23 11:25:15"
EA674E,"2019-10-23 11:25:09"
EA674E,"2019-10-23 11:24:56"
EA674E,"2019-10-23 11:24:40"
EA674E,"2019-10-23 11:24:05"
EA674E,"2019-10-23 11:23:46"
EA674E,"2019-10-23 11:23:35"
EA674E,"2019-10-23 11:23:14"
EA674E,"2019-10-23 11:23:05"
EA674E,"2019-10-23 11:22:54"
EA674E,"2019-10-23 11:22:46"
EA674E,"2019-10-23 11:22:37"
EA674E,"2019-10-23 11:22:29"
EA674E,"2019-10-23 11:22:11"
EA674E,"2019-10-23 11:22:04"
EA674E,"2019-10-23 11:21:44"
EA674E,"2019-10-23 11:21:36"
EA674E,"2019-10-23 11:21:27"
EA674E,"2019-10-23 11:21:18"
EA674E,"2019-10-23 11:20:44"
EA674E,"2019-10-23 11:20:37"
EA674E,"2019-10-23 11:20:31"
EA674E,"2019-10-23 11:20:24"
EA674E,"2019-10-23 11:20:09"
EA674E,"2019-10-23 11:19:49"
EA674E,"2019-10-23 11:19:42"
EA674E,"2019-10-23 11:19:03"
EA674E,"2019-10-23 11:18:57"
EA674E,"2019-10-23 11:18:29"
EA674E,"2019-10-23 11:17:58"
EA674E,"2019-10-23 11:14:16"
EA674E,"2019-10-23 11:11:29"
EA674E,"2019-10-23 11:10:35"
EA674E,"2019-10-23 11:10:28"
EA674E,"2019-10-23 11:06:54"
EA674E,"2019-10-23 11:06:14"
EA674E,"2019-10-23 11:06:08"
EA674E,"2019-10-23 10:57:13"
EA674E,"2019-10-23 10:39:48"
EA674E,"2019-10-23 10:39:12"
EA674E,"2019-10-23 10:38:32"
EA674E,"2019-10-23 10:31:27"
EA674E,"2019-10-23 10:31:17"
EA674E,"2019-10-23 10:31:05"
EA674E,"2019-10-23 10:30:16"
EA674E,"2019-10-23 10:29:44"
EA674E,"2019-10-23 10:29:25"
EA674E,"2019-10-23 10:28:44"
EA674E,"2019-10-23 10:28:35"
EA674E,"2019-10-23 10:27:37"
EA674E,"2019-10-23 10:27:22"
EA674E,"2019-10-23 10:27:15"
EA674E,"2019-10-23 10:26:29"
EA674E,"2019-10-23 10:24:27"
EA674E,"2019-10-23 10:23:59"
EA674E,"2019-10-23 09:25:27"
EA674E,"2019-10-23 09:25:19"
EA674E,"2019-10-23 09:25:10"
EA674E,"2019-10-23 09:25:02"
EA674E,"2019-10-23 09:08:44"
EA674E,"2019-10-23 09:08:34"
EA674E,"2019-10-23 09:08:28"
EA674E,"2019-10-23 09:05:35"
EA674E,"2019-10-23 09:05:22"
EA674E,"2019-10-23 09:05:13"
EA674E,"2019-10-23 09:04:43"
