temp_in,statetime
25.2,"2019-10-23 12:00:34"
25.1,"2019-10-23 12:00:24"
25.2,"2019-10-23 11:59:54"
25.3,"2019-10-23 11:59:34"
25.2,"2019-10-23 11:59:24"
25.3,"2019-10-23 11:59:14"
25.2,"2019-10-23 11:59:04"
25.3,"2019-10-23 11:58:44"
25.4,"2019-10-23 11:58:34"
25.3,"2019-10-23 11:58:24"
25.4,"2019-10-23 11:58:14"
25.3,"2019-10-23 11:57:44"
25.2,"2019-10-23 11:56:45"
25.3,"2019-10-23 11:56:14"
25.4,"2019-10-23 11:54:24"
25.3,"2019-10-23 11:54:04"
25.4,"2019-10-23 11:53:44"
25.3,"2019-10-23 11:53:34"
25.4,"2019-10-23 11:52:24"
25.5,"2019-10-23 11:52:14"
25.4,"2019-10-23 11:51:54"
25.5,"2019-10-23 11:51:34"
25.6,"2019-10-23 11:50:44"
25.7,"2019-10-23 11:50:14"
25.8,"2019-10-23 11:49:54"
25.9,"2019-10-23 11:45:24"
26.0,"2019-10-23 11:45:04"
26.1,"2019-10-23 11:44:44"
26.2,"2019-10-23 11:44:24"
26.3,"2019-10-23 11:44:04"
26.2,"2019-10-23 11:43:24"
26.3,"2019-10-23 11:43:14"
26.2,"2019-10-23 11:41:54"
26.3,"2019-10-23 11:41:34"
26.4,"2019-10-23 11:41:14"
26.6,"2019-10-23 11:40:44"
26.7,"2019-10-23 11:40:04"
26.8,"2019-10-23 11:39:44"
26.9,"2019-10-23 11:39:24"
26.8,"2019-10-23 11:37:44"
26.9,"2019-10-23 11:36:34"
27.0,"2019-10-23 11:36:14"
27.1,"2019-10-23 11:35:14"
27.2,"2019-10-23 11:33:44"
27.3,"2019-10-23 11:33:04"
27.4,"2019-10-23 11:32:04"
27.5,"2019-10-23 11:31:34"
27.6,"2019-10-23 11:31:04"
27.7,"2019-10-23 11:30:04"
27.8,"2019-10-23 11:29:54"
27.9,"2019-10-23 11:29:34"
28.0,"2019-10-23 11:29:14"
28.1,"2019-10-23 11:28:14"
28.2,"2019-10-23 11:28:04"
28.3,"2019-10-23 11:27:54"
28.2,"2019-10-23 11:27:44"
28.3,"2019-10-23 11:27:24"
28.4,"2019-10-23 11:26:54"
28.5,"2019-10-23 11:26:14"
28.6,"2019-10-23 11:25:54"
28.5,"2019-10-23 11:25:44"
28.6,"2019-10-23 11:22:54"
28.5,"2019-10-23 11:22:14"
28.4,"2019-10-23 11:18:54"
28.3,"2019-10-23 11:15:34"
28.4,"2019-10-23 11:13:04"
28.3,"2019-10-23 11:12:34"
28.4,"2019-10-23 11:10:54"
28.3,"2019-10-23 11:10:34"
28.4,"2019-10-23 11:07:34"
28.3,"2019-10-23 11:03:04"
28.4,"2019-10-23 11:01:54"
28.5,"2019-10-23 11:00:44"
28.6,"2019-10-23 10:59:44"
28.7,"2019-10-23 10:59:24"
28.6,"2019-10-23 10:58:44"
28.7,"2019-10-23 10:57:44"
28.8,"2019-10-23 10:56:24"
28.7,"2019-10-23 10:49:04"
28.6,"2019-10-23 10:45:54"
28.5,"2019-10-23 10:44:34"
28.4,"2019-10-23 10:42:24"
28.3,"2019-10-23 10:41:14"
28.2,"2019-10-23 10:41:04"
28.3,"2019-10-23 10:40:54"
28.2,"2019-10-23 10:39:44"
28.1,"2019-10-23 10:39:04"
28.2,"2019-10-23 10:37:24"
28.3,"2019-10-23 10:37:14"
28.2,"2019-10-23 10:35:54"
28.3,"2019-10-23 10:35:44"
28.2,"2019-10-23 10:35:24"
28.3,"2019-10-23 10:35:04"
28.2,"2019-10-23 10:34:24"
28.3,"2019-10-23 10:30:24"
28.4,"2019-10-23 10:25:34"
28.5,"2019-10-23 10:25:04"
28.6,"2019-10-23 10:15:54"
28.5,"2019-10-23 10:15:34"
28.6,"2019-10-23 10:15:14"
28.5,"2019-10-23 10:15:04"
28.6,"2019-10-23 10:10:44"
28.5,"2019-10-23 10:10:24"
28.6,"2019-10-23 10:10:14"
28.5,"2019-10-23 10:03:44"
28.4,"2019-10-23 10:02:14"
28.5,"2019-10-23 10:02:04"
28.4,"2019-10-23 10:01:54"
28.5,"2019-10-23 10:00:34"
28.4,"2019-10-23 09:59:44"
28.5,"2019-10-23 09:58:44"
28.4,"2019-10-23 09:58:34"
28.5,"2019-10-23 09:57:34"
28.4,"2019-10-23 09:42:14"
28.5,"2019-10-23 09:40:54"
28.4,"2019-10-23 09:32:04"
28.3,"2019-10-23 09:26:14"
28.2,"2019-10-23 09:25:44"
28.3,"2019-10-23 09:23:25"
28.2,"2019-10-23 09:19:04"
28.1,"2019-10-23 09:15:04"
28.0,"2019-10-23 09:12:54"
27.9,"2019-10-23 09:10:44"
27.8,"2019-10-23 09:09:54"
27.7,"2019-10-23 09:09:44"
27.8,"2019-10-23 09:09:34"
27.7,"2019-10-23 09:07:44"
27.6,"2019-10-23 09:05:24"
27.7,"2019-10-23 09:03:34"
27.8,"2019-10-23 09:02:54"
27.9,"2019-10-23 09:02:44"
27.7,"2019-10-23 08:50:24"
27.9,"2019-10-23 08:50:14"
27.8,"2019-10-23 08:50:04"
27.9,"2019-10-23 08:49:54"
