temp_out,statetime
21.0,"2019-10-23 03:13:35"
20.0,"2019-10-23 03:13:05"
21.0,"2019-10-23 03:12:35"
20.0,"2019-10-23 03:11:38"
21.0,"2019-10-23 03:11:05"
20.0,"2019-10-23 03:10:35"
21.0,"2019-10-23 03:10:05"
20.0,"2019-10-23 03:09:35"
21.0,"2019-10-23 03:06:05"
20.0,"2019-10-23 03:05:05"
21.0,"2019-10-23 03:04:35"
20.0,"2019-10-23 03:04:06"
21.0,"2019-10-23 03:02:05"
20.0,"2019-10-23 03:01:35"
21.0,"2019-10-23 03:01:05"
20.0,"2019-10-23 03:00:35"
21.0,"2019-10-23 02:59:35"
20.0,"2019-10-23 02:56:35"
21.0,"2019-10-23 02:55:35"
20.0,"2019-10-23 02:54:05"
21.0,"2019-10-23 02:50:05"
20.0,"2019-10-23 02:48:35"
21.0,"2019-10-23 02:33:05"
20.0,"2019-10-23 02:32:35"
21.0,"2019-10-23 02:31:05"
20.0,"2019-10-23 02:30:35"
21.0,"2019-10-23 02:29:05"
20.0,"2019-10-23 02:28:35"
21.0,"2019-10-23 02:27:35"
20.0,"2019-10-23 02:27:05"
21.0,"2019-10-23 02:26:35"
20.0,"2019-10-23 02:26:05"
21.0,"2019-10-23 02:24:35"
20.0,"2019-10-23 02:23:35"
21.0,"2019-10-23 02:19:35"
20.0,"2019-10-23 02:19:05"
21.0,"2019-10-23 01:51:35"
22.0,"2019-10-23 01:51:05"
21.0,"2019-10-22 22:58:35"
22.0,"2019-10-22 22:58:05"
21.0,"2019-10-22 22:57:35"
22.0,"2019-10-22 22:56:05"
21.0,"2019-10-22 22:54:05"
22.0,"2019-10-22 22:52:35"
21.0,"2019-10-22 22:51:05"
22.0,"2019-10-22 22:50:06"
21.0,"2019-10-22 22:41:35"
22.0,"2019-10-22 22:41:05"
21.0,"2019-10-22 22:22:05"
22.0,"2019-10-22 22:20:35"
21.0,"2019-10-22 22:19:05"
22.0,"2019-10-22 22:18:35"
21.0,"2019-10-22 22:17:35"
22.0,"2019-10-22 22:17:05"
21.0,"2019-10-22 22:16:35"
22.0,"2019-10-22 19:55:05"
23.0,"2019-10-22 19:21:35"
24.0,"2019-10-22 19:20:35"
23.0,"2019-10-22 19:15:35"
24.0,"2019-10-22 19:15:05"
23.0,"2019-10-22 19:14:35"
24.0,"2019-10-22 19:12:35"
23.0,"2019-10-22 19:11:35"
24.0,"2019-10-22 19:11:05"
23.0,"2019-10-22 19:10:35"
24.0,"2019-10-22 19:04:05"
23.0,"2019-10-22 19:03:35"
24.0,"2019-10-22 19:02:05"
