humidity_in,statetime
34.0,"2019-10-23 23:09:43"
33.0,"2019-10-23 23:09:23"
34.0,"2019-10-23 23:07:53"
33.0,"2019-10-23 23:07:43"
34.0,"2019-10-23 23:04:13"
33.0,"2019-10-23 23:04:03"
34.0,"2019-10-23 22:05:03"
33.0,"2019-10-23 22:04:43"
34.0,"2019-10-23 22:04:33"
33.0,"2019-10-23 22:04:23"
34.0,"2019-10-23 22:04:03"
33.0,"2019-10-23 22:03:13"
34.0,"2019-10-23 22:03:03"
33.0,"2019-10-23 22:02:13"
34.0,"2019-10-23 22:02:03"
33.0,"2019-10-23 22:00:33"
34.0,"2019-10-23 22:00:13"
33.0,"2019-10-23 21:58:23"
34.0,"2019-10-23 20:54:45"
35.0,"2019-10-23 18:48:09"
36.0,"2019-10-23 18:47:59"
35.0,"2019-10-23 18:38:59"
36.0,"2019-10-23 18:38:49"
35.0,"2019-10-23 18:38:29"
36.0,"2019-10-23 18:37:49"
35.0,"2019-10-23 18:37:09"
36.0,"2019-10-23 18:36:29"
35.0,"2019-10-23 18:36:20"
36.0,"2019-10-23 18:15:32"
37.0,"2019-10-23 17:44:10"
38.0,"2019-10-23 17:43:50"
37.0,"2019-10-23 17:38:45"
38.0,"2019-10-23 17:38:35"
37.0,"2019-10-23 17:14:35"
38.0,"2019-10-23 17:14:25"
37.0,"2019-10-23 17:13:55"
38.0,"2019-10-23 17:13:45"
37.0,"2019-10-23 17:12:45"
38.0,"2019-10-23 17:12:35"
37.0,"2019-10-23 17:12:25"
38.0,"2019-10-23 17:12:15"
37.0,"2019-10-23 17:11:35"
38.0,"2019-10-23 17:09:25"
37.0,"2019-10-23 17:09:15"
38.0,"2019-10-23 17:08:25"
37.0,"2019-10-23 17:08:05"
38.0,"2019-10-23 17:07:45"
37.0,"2019-10-23 17:07:35"
38.0,"2019-10-23 17:05:05"
37.0,"2019-10-23 17:04:55"
38.0,"2019-10-23 17:01:55"
37.0,"2019-10-23 17:01:45"
38.0,"2019-10-23 16:46:15"
37.0,"2019-10-23 16:46:05"
38.0,"2019-10-23 16:42:06"
37.0,"2019-10-23 16:41:25"
38.0,"2019-10-23 16:41:15"
37.0,"2019-10-23 16:40:45"
38.0,"2019-10-23 16:40:25"
37.0,"2019-10-23 16:40:15"
38.0,"2019-10-23 16:18:55"
39.0,"2019-10-23 16:17:25"
38.0,"2019-10-23 16:17:15"
39.0,"2019-10-23 15:50:26"
38.0,"2019-10-23 15:50:05"
39.0,"2019-10-23 15:49:05"
38.0,"2019-10-23 15:48:35"
39.0,"2019-10-23 15:47:55"
38.0,"2019-10-23 15:47:45"
39.0,"2019-10-23 15:47:05"
38.0,"2019-10-23 15:46:55"
39.0,"2019-10-23 15:46:45"
38.0,"2019-10-23 15:46:35"
39.0,"2019-10-23 15:46:15"
38.0,"2019-10-23 15:45:25"
39.0,"2019-10-23 15:45:06"
38.0,"2019-10-23 15:44:45"
39.0,"2019-10-23 15:44:15"
38.0,"2019-10-23 15:42:25"
39.0,"2019-10-23 15:42:15"
38.0,"2019-10-23 15:41:35"
